Index,Movie,Distributor,Genre,7-day Gross,14-day Gross,Total US Gross,International Gross,US DVD Sales,Budget
174,Gridiron Gang,Sony Pictures,Drama,$17Ê501Ê040,$28Ê676Ê742,$38Ê432Ê823,$3Ê048Ê028,$33Ê990Ê308,$30Ê000Ê000
175,Hairspray,New Line,Musical,$43Ê858Ê000,$69Ê629Ê420,$118Ê823Ê091,$84Ê000Ê000,$104Ê029Ê214,$75Ê000Ê000
176,Zodiac,Paramount Pictures,Thriller/Suspense,$16Ê954Ê103,$25Ê849Ê997,$33Ê080Ê084,$50Ê000Ê000,$20Ê971Ê999,$85Ê000Ê000
177,In the Land of Women,Warner Independent Pictures,Comedy,$5Ê908Ê658,$9Ê308Ê837,$11Ê052Ê958,$3Ê087Ê444,$9Ê691Ê414,$10Ê500Ê000
178,Premonition,Sony Pictures,Thriller/Suspense,$22Ê090Ê745,$34Ê242Ê317,$47Ê852Ê604,$33Ê608Ê739,$33Ê205Ê167,
179,Becoming Jane,Miramax,Drama,,$6Ê148Ê661,$18Ê663Ê911,$18Ê640Ê726,$8Ê050Ê112,$16Ê500Ê000
180,The Protector,Weinstein Co.,Action,$6Ê583Ê847,$9Ê940Ê816,$12Ê044Ê087,$31Ê000Ê000,$13Ê059Ê709,$5Ê700Ê000
181,Crank,Lionsgate,Action,$15Ê058Ê504,$21Ê713Ê622,$27Ê838Ê408,$5Ê986Ê288,$28Ê754Ê050,$12Ê000Ê000
182,The Hitcher,Focus Features,Thriller/Suspense,$9Ê800Ê045,,$16Ê379Ê582,$4Ê476Ê064,,
183,The History Boys,Fox Searchlight,Comedy,,,$2Ê730Ê296,$10Ê695Ê293,,$3Ê700Ê000
184,Gracie,PictureHouse,Drama,$1Ê939Ê458,,$2Ê956Ê339,$80Ê397,,$9Ê000Ê000
185,Firehouse Dog,20th Century Fox,Comedy,,,$13Ê932Ê383,$3Ê366Ê768,$17Ê210Ê792,
186,The Santa Clause 3: The Escape Clause,Buena Vista,Comedy,$24Ê159Ê405,$43Ê401Ê458,$84Ê500Ê122,$23Ê000Ê000,$76Ê815Ê057,
187,Step Up,Buena Vista,Drama,$29Ê580Ê830,$44Ê232Ê438,$65Ê328Ê121,$50Ê000Ê000,$51Ê183Ê795,$12Ê000Ê000
188,Open Season,Sony Pictures,Adventure,$28Ê128Ê740,$48Ê154Ê270,$85Ê105Ê259,$104Ê796Ê444,$96Ê372Ê487,$85Ê000Ê000
189,The Last Mimzy,New Line,Adventure,$12Ê192Ê019,$17Ê318Ê613,$21Ê471Ê047,$5Ê149Ê714,$21Ê227Ê639,
190,The Reaping,Warner Bros.,Horror,,,$25Ê126Ê214,$37Ê100Ê000,$19Ê733Ê449,$40Ê000Ê000
191,Talladega Nights: The Ballad of Ricky Bobby,Sony Pictures,Comedy,$68Ê216Ê958,$100Ê585Ê876,$148Ê213Ê377,$14Ê800Ê000,$84Ê806Ê563,$73Ê000Ê000
192,Hollywoodland,Focus Features,Drama,$7Ê799Ê599,$11Ê434Ê376,$14Ê426Ê251,,,
193,Rocky Balboa,MGM,Drama,,,$70Ê269Ê899,$85Ê450Ê189,$34Ê655Ê821,$24Ê000Ê000
194,A Mighty Heart,Paramount Vantage,Drama,$5Ê418Ê140,$7Ê757Ê609,$9Ê176Ê787,$9Ê755Ê330,$5Ê434Ê934,$15Ê000Ê000
195,Mr. Bean's Holiday,Universal,Comedy,$13Ê000Ê430,,$33Ê302Ê167,$196Ê397Ê938,$28Ê162Ê446,$25Ê000Ê000
196,Joshua,Fox Searchlight,Thriller/Suspense,$74Ê590,$400Ê745,$482Ê355,$233Ê349,,
197,Flags of Our Fathers,Dreamworks SKG,Drama,$13Ê576Ê213,$22Ê131Ê112,$33Ê602Ê376,$28Ê300Ê000,$45Ê095Ê837,$53Ê000Ê000
198,Little Miss Sunshine,Fox Searchlight,Comedy,,,$59Ê891Ê098,$40Ê632Ê083,$55Ê497Ê574,$8Ê000Ê000
199,Garfield's A Tail of Two Kitties,20th Century Fox,Comedy,,,$28Ê426Ê747,$113Ê275Ê517,$18Ê693Ê368,
200,Letters from Iwo Jima,Dreamworks SKG,Drama,,,$13Ê756Ê082,$55Ê000Ê000,$13Ê618Ê088,$13Ê000Ê000
201,Daddy's Little Girls,Lionsgate,Romantic Comedy,,,$31Ê366Ê978,$150Ê081,$31Ê456Ê820,
202,Harry Potter and the Order of the Phoenix,Warner Bros.,Adventure,,$217Ê083Ê411,$292Ê004Ê738,$646Ê464Ê126,$220Ê651Ê146,$150Ê000Ê000
203,Marie-Antoinette,Sony Pictures,Drama,$6Ê906Ê276,$10Ê733Ê964,$15Ê962Ê471,$44Ê900Ê000,$16Ê617Ê894,$40Ê000Ê000
204,The Departed,Warner Bros.,Drama,$37Ê950Ê891,$63Ê472Ê929,$133Ê311Ê000,$157Ê228Ê042,$140Ê647Ê116,$90Ê000Ê000
205,Snakes on a Plane,New Line,Thriller/Suspense,$20Ê152Ê024,$28Ê601Ê000,$34Ê020Ê814,$28Ê000Ê000,$23Ê693Ê992,$33Ê000Ê000
206,Breach,Universal,Thriller/Suspense,$14Ê309Ê725,$21Ê938Ê345,$33Ê000Ê880,$1Ê457Ê899,$18Ê301Ê944,
207,The Last King of Scotland,Fox Searchlight,Drama,,,$17Ê606Ê684,$30Ê756Ê832,$16Ê831Ê973,$6Ê000Ê000
208,300,Warner Bros.,Action,$96Ê288Ê328,$141Ê843Ê655,$210Ê614Ê939,$245Ê453Ê242,$261Ê158Ê713,$60Ê000Ê000
209,The Pursuit of Happyness,Sony Pictures,Drama,$38Ê286Ê895,$79Ê049Ê229,$162Ê586Ê036,$143Ê500Ê000,$90Ê820Ê939,$55Ê000Ê000
210,The Number 23,New Line,Thriller/Suspense,$17Ê633Ê643,$26Ê321Ê000,$35Ê193Ê167,$41Ê400Ê000,$27Ê501Ê523,$32Ê000Ê000
211,Arctic Tale,Paramount Vantage,Documentary,,,$833Ê532,$194Ê090,,
,,,,,,,,,
