Index,Movie,Distributor,Genre,7-day Gross,14-day Gross,Total US Gross,International Gross,US DVD Sales,Budget
41,Pride,Lionsgate,Drama,$4Ê295Ê317,,$7Ê057Ê600,,,
42,The Ant Bully,Warner Bros.,Adventure,$14Ê260Ê551,$20Ê610Ê757,$28Ê142Ê535,$27Ê038Ê594,$28Ê487Ê251,$45Ê000Ê000
43,Surf's Up,Sony Pictures,Adventure,$25Ê370Ê697,$40Ê612Ê980,$58Ê867Ê694,$86Ê528Ê051,$46Ê067Ê803,$100Ê000Ê000
44,Material Girls,MGM,Comedy,$6Ê190Ê228,,$11Ê449Ê638,$1Ê000Ê000,$12Ê117Ê535,
45,Daddy Day Camp,Sony Pictures,Comedy,,,$13Ê235Ê267,$4Ê962Ê131,$5Ê394Ê066,$76Ê000Ê000
46,Pulse,Weinstein/Dimension,Horror,$11Ê176Ê099,$16Ê228Ê598,$20Ê264Ê436,$9Ê507Ê049,,$7Ê500Ê000
47,Vacancy,Sony/Screen Gems,Thriller/Suspense,$9Ê667Ê558,$14Ê985Ê909,$19Ê063Ê007,$5Ê300Ê000,$15Ê476Ê934,
48,TMNT,Weinstein Co.,Action,$29Ê268Ê284,$41Ê781Ê886,$54Ê149Ê098,$40Ê860Ê790,$30Ê361Ê634,$35Ê000Ê000
49,Invincible,Buena Vista,Drama,$22Ê640Ê843,$39Ê870Ê508,$57Ê806Ê952,$673Ê876,$48Ê056Ê452,
50,Flyboys,MGM,Drama,$7Ê595Ê128,$10Ê794Ê574,$13Ê090Ê630,$1Ê725Ê749,$23Ê600Ê109,$60Ê000Ê000
51,Mr. Brooks,MGM,Thriller/Suspense,$13Ê682Ê301,$20Ê621Ê219,$28Ê476Ê219,$17Ê512Ê793,$29Ê822Ê828,
52,Sunshine,Fox Searchlight,Thriller/Suspense,$362Ê501,$2Ê235Ê239,$3Ê688Ê560,$28Ê342Ê050,$6Ê319Ê960,$40Ê000Ê000
53,The Fountain,Warner Bros.,Drama,,,$10Ê144Ê010,$5Ê317Ê628,$8Ê742Ê316,$35Ê000Ê000
54,Clerks II,MGM,Comedy,,$20Ê987Ê916,$24Ê148Ê068,$1Ê746Ê405,$26Ê390Ê836,$5Ê000Ê000
55,Pan's Labyrinth,PictureHouse,Horror,,,$37Ê634Ê615,$45Ê600Ê000,$40Ê752Ê599,$16Ê000Ê000
56,John Tucker Must Die,20th Century Fox,Comedy,$22Ê572Ê760,$32Ê751Ê462,$41Ê011Ê711,$27Ê812Ê815,$32Ê656Ê099,
57,Little Man,Sony Pictures,Comedy,,,$58Ê636Ê047,$43Ê000Ê000,$32Ê683Ê684,$64Ê000Ê000
58,Hot Fuzz,Focus Features,Comedy,$7Ê724Ê188,$14Ê090Ê753,$23Ê618Ê786,$55Ê578Ê707,$33Ê365Ê115,$16Ê000Ê000
59,Norbit,Paramount Pictures,Comedy,$42Ê082Ê178,$64Ê938Ê373,$95Ê673Ê607,$63Ê300Ê000,$44Ê106Ê290,
60,Superbad,Sony Pictures,Comedy,$50Ê572Ê274,$76Ê834Ê795,$121Ê463Ê226,$48Ê400Ê000,$134Ê374Ê749,$17Ê500Ê000
61,Spider-Man 3,Sony Pictures,Adventure,$182Ê070Ê572,$253Ê357Ê629,$336Ê530Ê303,$554Ê341Ê323,$123Ê997Ê036,$258Ê000Ê000
62,Next,Sony Pictures,Action,$9Ê066Ê641,$13Ê000Ê019,$18Ê211Ê013,$55Ê380Ê487,$18Ê978Ê879,
63,Superman Returns,Warner Bros.,Adventure,,,$200Ê120Ê000,$191Ê000Ê000,$81Ê570Ê819,$232Ê000Ê000
64,X-Men: The Last Stand,20th Century Fox,Action,,,$234Ê362Ê462,$224Ê997Ê093,$103Ê539Ê395,$150Ê000Ê000
65,The Queen,Miramax,Drama,,,$56Ê441Ê711,$66Ê398Ê892,$29Ê155Ê509,$15Ê000Ê000
66,The Descent,Lionsgate,Thriller/Suspense,$12Ê927Ê112,$19Ê882Ê850,$26Ê024Ê456,$31Ê005Ê153,$22Ê436Ê857,$7Ê000Ê000
67,Perfect Stranger,Sony Pictures,Thriller/Suspense,$13Ê968Ê118,$19Ê418Ê295,$23Ê760Ê822,$38Ê765Ê566,$23Ê711Ê660,
68,Freedom Writers,Paramount Pictures,Drama,$11Ê323Ê827,$21Ê317Ê621,$36Ê605Ê602,$6Ê485Ê139,$20Ê489Ê423,$21Ê000Ê000
69,The Ex,Weinstein Co.,Romantic Comedy,$1Ê944Ê838,,$3Ê091Ê922,$646Ê700,$1Ê827Ê435,
70,Are We Done Yet?,Sony Pictures,Comedy,,,$49Ê662Ê533,$8Ê725Ê535,$22Ê928Ê049,
71,Waitress,Fox Searchlight,Drama,,,$19Ê097Ê550,$3Ê104Ê630,$23Ê084Ê465,$1Ê500Ê000
72,Georgia Rule,Universal,Drama,$9Ê121Ê575,$14Ê424Ê970,$18Ê882Ê880,$1Ê936Ê721,$19Ê347Ê243,$20Ê000Ê000
73,Iraq in Fragments,Typecast Releasing,Documentary,,,$204Ê462,,,
74,Lady in the Water,Warner Bros.,Drama,,$35Ê922Ê083,$42Ê285Ê169,$30Ê500Ê000,$12Ê428Ê204,$75Ê000Ê000
75,Once,Fox Searchlight,Drama,,,$9Ê445Ê857,$9Ê551Ê317,,$150Ê000
76,Disturbia,Paramount Pictures,Thriller/Suspense,$27Ê194Ê364,$43Ê085Ê763,$80Ê209Ê692,$37Ê363Ê351,$34Ê408Ê161,$20Ê000Ê000
77,Balls of Fury,Focus Features,Comedy,,,$32Ê886Ê940,$7Ê991Ê682,$19Ê013Ê476,
78,Idiocracy,20th Century Fox,Comedy,$234Ê596,$351Ê327,$444Ê093,$41Ê106,,
79,Hot Rod,Paramount Pictures,Comedy,$8Ê792Ê476,$12Ê534Ê240,$13Ê938Ê332,$396Ê069,$23Ê972Ê256,$25Ê000Ê000
80,Ice Age: The Meltdown,20th Century Fox,Adventure,,,$195Ê330Ê621,$456Ê568Ê661,$131Ê324Ê982,$75Ê000Ê000
81,The Covenant,Sony/Screen Gems,Thriller/Suspense,$11Ê013Ê531,$17Ê004Ê815,$23Ê364Ê784,$14Ê800Ê000,$26Ê301Ê459,$20Ê000Ê000
82,Barnyard: The Original Party Animals,Paramount Pictures,Comedy,$24Ê016Ê098,$38Ê506Ê651,$72Ê779Ê000,$43Ê839Ê084,$64Ê992Ê667,$51Ê000Ê000
83,Day Watch,Fox Searchlight,Action,$68Ê234,$166Ê581,$459Ê095,$38Ê411Ê815,$4Ê060Ê608,
84,How to Eat Fried Worms,New Line,Drama,$5Ê571Ê313,,$13Ê040Ê527,$55Ê787,$16Ê841Ê759,
85,Everyone's Hero,20th Century Fox,Adventure,$6Ê844Ê371,$12Ê125Ê203,$14Ê523Ê101,$1Ê596Ê538,$5Ê943Ê446,
86,The Marine,20th Century Fox,Action,$8Ê822Ê674,$13Ê555Ê127,$18Ê844Ê784,$3Ê320Ê824,$26Ê752Ê947,$15Ê000Ê000
87,School for Scoundrels,Weinstein Co.,Comedy,$10Ê554Ê778,$15Ê065Ê677,$17Ê807Ê569,,,$20Ê000Ê000
88,Black Christmas,Miramax/Dimension,Horror,,,$16Ê235Ê738,,,$9Ê000Ê000
89,The Devil Wears Prada,20th Century Fox,Comedy,,,$124Ê740Ê460,$201Ê810Ê634,$95Ê831Ê660,$35Ê000Ê000
90,The Nanny Diaries,Weinstein Co.,Comedy,$10Ê151Ê376,,$25Ê926Ê673,$20Ê064Ê522,$37Ê541Ê232,
91,Blood Diamond,Warner Bros.,Action,$12Ê119Ê786,$22Ê002Ê750,$57Ê377Ê916,$114Ê000Ê000,$62Ê525Ê527,$100Ê000Ê000
92,Reign Over Me,Sony Pictures,Drama,$9Ê630Ê847,$14Ê896Ê332,$19Ê661Ê987,$420Ê000,$15Ê941Ê535,$20Ê000Ê000
93,The Black Dahlia,Universal,Thriller/Suspense,$12Ê820Ê690,$18Ê613Ê540,$22Ê672Ê813,$24Ê000Ê000,$12Ê345Ê224,$60Ê000Ê000
94,Reno 911!: Miami,20th Century Fox,Comedy,$12Ê662Ê896,$17Ê729Ê833,$20Ê342Ê161,,,
95,Live Free or Die Hard,20th Century Fox,Action,,$88Ê674Ê537,$134Ê529Ê403,$249Ê002Ê061,$100Ê735Ê780,$110Ê000Ê000
96,Trust the Man,Fox Searchlight,Comedy,$255Ê827,$655Ê122,$1Ê530Ê535,$1Ê017Ê843,,$9Ê000Ê000
97,The Wicker Man,Warner Bros.,Thriller/Suspense,$13Ê371Ê125,$18Ê628Ê666,$24Ê413Ê467,$13Ê308Ê360,,
98,The Astronaut Farmer,Warner Bros.,Drama,$5Ê580Ê399,$8Ê338Ê517,$11Ê003Ê643,,,$13Ê000Ê000
99,Tenacious D in: The Pick of Destiny,New Line,Comedy,,,$8Ê334Ê575,$5Ê100Ê000,$6Ê035Ê460,
100,Pirates of the Caribbean: Dead Man's Chest,Buena Vista,Adventure,,,$423Ê315Ê812,$642Ê344Ê000,$320Ê671Ê450,$225Ê000Ê000
101,Smokin' Aces,Universal,Comedy,$18Ê630Ê955,$27Ê061Ê120,$35Ê662Ê731,$20Ê384Ê530,$35Ê769Ê990,$17Ê000Ê000
102,License to Wed,Warner Bros.,Comedy,,$31Ê442Ê050,$43Ê792Ê641,$27Ê000Ê000,$22Ê727Ê928,$35Ê000Ê000
103,Grindhouse,Weinstein/Dimension,Horror,$15Ê460Ê828,$21Ê320Ê000,$25Ê031Ê037,$25Ê156Ê752,$31Ê032Ê170,$53Ê000Ê000
104,Pathfinder,20th Century Fox,Adventure,$6Ê360Ê568,$8Ê895Ê535,$10Ê232Ê081,$20Ê590Ê780,$27Ê357Ê887,
105,The Simpsons Movie,20th Century Fox,Comedy,$102Ê949Ê705,$141Ê112Ê342,$183Ê135Ê014,$343Ê936Ê008,$96Ê337Ê909,$72Ê500Ê000
106,Operation Homecoming,The Documentary Group,Documentary,$6Ê795,,$6Ê795,,,
107,The Omen,20th Century Fox,Horror,,,$54Ê607Ê383,$65Ê000Ê000,$10Ê459Ê743,$25Ê000Ê000
108,Catch and Release,Sony Pictures,Romantic Comedy,$9Ê311Ê010,$12Ê646Ê624,$15Ê432Ê542,,,
109,Away From Her,Lionsgate,Drama,,,$4Ê548Ê331,,,
110,Knocked Up,Universal,Romantic Comedy,$46Ê223Ê940,$75Ê946Ê815,$148Ê761Ê765,$70Ê232Ê344,$117Ê411Ê877,$27Ê500Ê000
111,Jet Li's Fearless,Focus/Rogue Pictures,Drama,$13Ê083Ê004,$19Ê461Ê440,$24Ê633Ê730,$42Ê000Ê000,$30Ê497Ê752,
112,The Guardian,Buena Vista,Action,$22Ê751Ê717,$35Ê265Ê924,$55Ê011Ê732,$32Ê000Ê000,$53Ê922Ê172,
113,Water,Fox Searchlight,Drama,,,$5Ê529Ê144,$2Ê590Ê061,,
114,Accepted,Universal,Comedy,$14Ê641Ê880,$23Ê510Ê200,$36Ê580Ê083,$1Ê734Ê720,$37Ê827Ê956,
115,Music and Lyrics,Warner Bros.,Romantic Comedy,,,$50Ê572Ê589,$94Ê983Ê557,$21Ê129Ê239,$40Ê000Ê000
116,"You, Me and Dupree",Universal,Comedy,,,$75Ê802Ê010,$54Ê600Ê000,$41Ê628Ê625,$54Ê000Ê000
117,Eragon,20th Century Fox,Adventure,$30Ê495Ê702,$48Ê213Ê849,$75Ê030Ê163,$174Ê457Ê952,$87Ê654Ê390,$100Ê000Ê000
